,id,name,subsystem,reaction,GPR
558,HISTP,Histidinol-phosphatase,Histidine Metabolism,h2o[c] + hisp[c] --> histd[c] + pi[c],Rv1601
559,HSTPT,Histidinol-phosphate transaminase,Histidine Metabolism,glu__L[c] + imacp[c] --> akg[c] + hisp[c],Rv3772 or Rv1600
560,IG3PS,Imidazole-glycerol-3-phosphate synthase,Histidine Metabolism,gln__L[c] + prlp[c] --> aicar[c] + eig3p[c] + glu__L[c] + h[c],Rv1602 and Rv1605
561,IGPDH,Imidazoleglycerol-phosphate dehydratase,Histidine Metabolism,eig3p[c] --> h2o[c] + imacp[c],Rv1601
562,PRAIi,Phosphoribosylanthranilate isomerase (irreversible),Histidine Metabolism,pran[c] --> 2cpr5p[c],Rv1603
563,PRAMPC,Phosphoribosyl-AMP cyclohydrolase,Histidine Metabolism,h2o[c] + prbamp[c] --> prfp[c],Rv1606
564,PRATPP,Phosphoribosyl-ATP pyrophosphatase,Histidine Metabolism,h2o[c] + prbatp[c] --> h[c] + ppi[c] + prbamp[c],Rv2122c
565,PRMICI,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase,Histidine Metabolism,prfp[c] --> prlp[c],Rv1603
566,MI1PP,Myo-inositol 1-phosphatase,Inositol phosphate metabolism,h2o[c] + mi1p__D[c] --> inost[c] + pi[c],Rv1604 or Rv2131c or Rv2701c
567,MI1PS,Myo Inositol 1 phosphate synthase,Inositol phosphate metabolism,g6p[c] --> mi1p__D[c],Rv0046c
568,MI3PP,1D-myo-Inositol 3-phosphate phosphohydrolase,Inositol phosphate metabolism,h2o[c] + mi3p__D[c] --> inost[c] + pi[c],Rv1604 or Rv2131c or Rv2701c
569,MI3PS,1D-myo-inositol-3-phosphate lyase (isomerizing),Inositol phosphate metabolism,g6p[c] <=> mi3p__D[c],Rv0046c
570,NAGINSP,MNXR61204,Inositol phosphate metabolism,h[c] + mi3p__D[c] + uacgam[c] --> iacgam3p[c] + udp[c],Rv0486
571,DM_ergoth_c,Ergoth c Demand reaction,Intracellular demand,ergoth[c] <=> ,
572,DM_tbsinol_c,Tbsinol c Demand reaction,Intracellular demand,tbsinol[c] <=> ,
573,DM_isotbsinol_13S_c,Isotbsinol  13S c Demand reaction,Intracellular demand,isotbsinol_13S[c] <=> ,
574,DM_isotbsinol_13R_c,Isotbsinol  13R c Demand reaction,Intracellular demand,isotbsinol_13R[c] <=> ,
575,DM_psd5p_c,Psd5p c Demand reaction,Intracellular demand,psd5p[c] <=> ,
576,DM_cpppg1_c,Cpppg1 c Demand reaction,Intracellular demand,cpppg1[c] <=> ,
577,DM_scys__L_c,Scys  L c Demand reaction,Intracellular demand,scys__L[c] <=> ,
578,DM_gmhep1p_c,Gmhep1p c Demand reaction,Intracellular demand,gmhep1p[c] <=> ,
579,LAT,R00457,L-alpha-aminoadipic acid (L-AAA) biosynthesis,akg[c] + lys__L[c] <=> L2aadp6sa[c] + glu__L[c],Rv3290c
580,TMHAS5,TMHAS5,Lipid metabolism,tdm2[c] + tdm4[c] + tre[c] --> 2.0 h2o[c] + tmha5[c],
581,TMHAS6,TMHAS6,Lipid metabolism,tdm3[c] + tdm4[c] + tre[c] --> 2.0 h2o[c] + tmha6[c],
582,FADE233,R02661,Lipid metabolism,fad[c] + ibcoa[c] --> 2mp2coa[c] + fadh2[c],Rv3140
583,BKDC,BKDC,Lipid metabolism,2mpdhl[c] + coa[c] + h[c] <=> dhlam[c] + ibcoa[c],Rv2495c
584,BKDA2,BKDA2,Lipid metabolism,3mob[c] + lpam[c] --> 2mpdhl[c] + co2[c],Rv2497c and Rv2496c
585,PKS2,PKS2,Lipid metabolism,23.0 h[c] + hdcaMAS[c] + malcoa[c] + 7.0 mmcoa__S[c] + 15.0 nadph[c] --> 8.0 co2[c] + 7.0 coa[c] + 7.0 h2o[c] + hphthiocnylcoa[c] + mas[c] + 15.0 nadp[c],Rv3825c
586,MAS3,MAS3,Lipid metabolism,mas[c] + pmtcoa[c] --> coa[c] + hdcaMAS[c],Rv2940c
587,PKS122,PKS122,Lipid metabolism,coa[c] + pmtri[c] --> h2o[c] + pmtricoa[c],Rv2048c
588,PKS121,PKS121,Lipid metabolism,29.0 h[c] + hexcoa[c] + 5.0 malcoa[c] + 5.0 mmcoa__S[c] + 20.0 nadph[c] --> 10.0 co2[c] + 11.0 coa[c] + 8.0 h2o[c] + 20.0 nadp[c] + pmtri[c],Rv2048c
589,ACOADH1,2-oxoisovalerate dehydrogenase (acylating; 3-methyl-2-oxopentanoate),Lipid metabolism,2mbcoa[c] + fad[c] --> 2mb2coa[c] + fadh2[c],Rv3140
590,BKDC1,BKDC1,Lipid metabolism,2mbdhl[c] + coa[c] <=> 2mbcoa[c] + dhlam[c],Rv2495c
591,3M2OPLOXRD,3-Methyl-2-oxopentanoate:lipoamide oxidoreductase(decarboxylating and acceptor-2-methylpropanoylating),Lipid metabolism,3mop[c] + h[c] + lpam[c] --> 2mbdhl[c] + co2[c],Rv2497c and Rv2496c
592,PTA2,Phosphate acetyltransferase,Lipid metabolism,pi[c] + ppcoa[c] <=> coa[c] + ppap[c],Rv0408
593,OPP,R05611,Lipid metabolism,hepdp[c] + ipdp[c] --> octdp[c] + ppi[c],
594,HEXTT,Trans-hexaprenyltranstransferase,Lipid metabolism,hexdp[c] + ipdp[c] --> hepdp[c] + ppi[c],Rv0562
595,PPTT,Trans pentaprenyltranstransferase,Lipid metabolism,ipdp[c] + pendp[c] --> hexdp[c] + ppi[c],
596,GGTT,Geranylgeranyltranstransferase,Lipid metabolism,ggdp[c] + ipdp[c] --> pendp[c] + ppi[c],Rv3398c
597,LIPY,LIPY,Lipid metabolism,10.0 h2o[c] + 9.0 tag_TB[c] --> 9.0 12dgr_TB[c] + arach[c] + 2.0 hdca[c] + 2.0 hexc[c] + 4.0 ocdca[c],Rv3097c
598,GMHEPPA,"D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase",Lipopolysaccharide Biosynthesis / Recycling,gmhep17bp[c] + h2o[c] --> gmhep1p[c] + pi[c],Rv0114
599,AACPS11,AACPS11,Membrane Metabolism,4hbz[c] + ACP[c] + atp[c] --> 4hbzACP[c] + amp[c] + ppi[c],
600,ALAALAD,D-alanine-D-alanine dipeptidase,Membrane Metabolism,alaala[c] + h2o[c] --> 2.0 ala__D[c],Rv3330 or Rv2911
601,ARACHTA,ARACHTA,Membrane Metabolism,ACP[c] + arachcoa[c] <=> arachACP[c] + coa[c],
602,CHRPL,Chorismate pyruvate lyase,Membrane Metabolism,chor[c] --> 4hbz[c] + pyr[c],Rv2949c
603,FACOAL200,Fatty-acid--CoA ligase,Membrane Metabolism,arach[c] + atp[c] + coa[c] <=> amp[c] + arachcoa[c] + ppi[c],Rv0035 or Rv0099 or Rv0119 or Rv0166 or Rv0214 or Rv0270 or Rv0404 or Rv0551c or Rv0852 or Rv1058 or Rv1185c or Rv1193 or Rv1206 or Rv1427c or Rv1521 or Rv1529 or Rv1549 or Rv1550 or Rv1750c or Rv1925 or Rv2187 or Rv2505c or Rv2590 or Rv2930 or Rv2941 or Rv2948c or Rv2950c or Rv3089 or Rv3506 or Rv3513c or Rv3515c or Rv3561 or Rv3801c or Rv3826
604,FACOALPHDCA,FACOALPHDCA,Membrane Metabolism,atp[c] + coa[c] + phdca[c] <=> amp[c] + phdcacoa[c] + ppi[c],
605,FACOALPREPH,FACOALPREPH,Membrane Metabolism,atp[c] + coa[c] + prephth[c] <=> amp[c] + ppi[c] + prephthcoa[c],Rv2930
606,FAH4,FAH4,Membrane Metabolism,h[c] + nadph[c] + o2[c] + omtta[c] --> h2o[c] + homtta[c] + nadp[c],
607,FASPHDCA,FASPHDCA,Membrane Metabolism,4hbzACP[c] + 24.0 h[c] + 8.0 malACP[c] + 16.0 nadph[c] --> 8.0 ACP[c] + 8.0 co2[c] + 8.0 h2o[c] + 16.0 nadp[c] + phdcaACP[c],
608,FASm1601,FASm1601,Membrane Metabolism,3.0 h[c] + hdca[c] + mmcoa__S[c] + 2.0 nadph[c] --> co2[c] + coa[c] + h2o[c] + m1ocdca[c] + 2.0 nadp[c],Rv1663 or Rv1662
609,FASm1801,FASm1801,Membrane Metabolism,3.0 h[c] + m1ocdca[c] + mmcoa__S[c] + 2.0 nadph[c] --> co2[c] + coa[c] + dmarach[c] + h2o[c] + 2.0 nadp[c],Rv1663 or Rv1662
610,FASm2001,FASm2001,Membrane Metabolism,dmarach[c] + 3.0 h[c] + mmcoa__S[c] + 2.0 nadph[c] --> co2[c] + coa[c] + h2o[c] + 2.0 nadp[c] + tmbhn[c],Rv1663 or Rv1662
611,FASm220,FASm220,Membrane Metabolism,arach[c] + 3.0 h[c] + mmcoa__S[c] + 2.0 nadph[c] --> co2[c] + coa[c] + h2o[c] + mbhn[c] + 2.0 nadp[c],Rv2940c
612,FASm2201,FASm2201,Membrane Metabolism,3.0 h[c] + mmcoa__S[c] + 2.0 nadph[c] + tmbhn[c] --> co2[c] + coa[c] + h2o[c] + 2.0 nadp[c] + tamlgnc[c],Rv2940c
613,FASm240,FASm240,Membrane Metabolism,3.0 h[c] + mbhn[c] + mmcoa__S[c] + 2.0 nadph[c] --> co2[c] + coa[c] + dmlgnc[c] + h2o[c] + 2.0 nadp[c],Rv2940c
614,FASm2401,FASm2401,Membrane Metabolism,3.0 h[c] + mmcoa__S[c] + 2.0 nadph[c] + tamlgnc[c] --> co2[c] + coa[c] + h2o[c] + 2.0 nadp[c] + pmhexc[c],Rv2940c
615,FASm260,FASm260,Membrane Metabolism,dmlgnc[c] + 3.0 h[c] + mmcoa__S[c] + 2.0 nadph[c] --> co2[c] + coa[c] + h2o[c] + 2.0 nadp[c] + tmhexc[c],Rv2940c
616,FASm2601,FASm2601,Membrane Metabolism,3.0 h[c] + mmcoa__S[c] + 2.0 nadph[c] + pmhexc[c] --> co2[c] + coa[c] + h2o[c] + hmocta[c] + 2.0 nadp[c],Rv2940c
617,FASm2602,FASm2602,Membrane Metabolism,3.0 h[c] + mmcoa__S[c] + 2.0 nadph[c] + tmlgnc[c] --> co2[c] + coa[c] + h2o[c] + 2.0 nadp[c] + tamhexc[c],Rv2940c
618,FASm280,FASm280,Membrane Metabolism,3.0 h[c] + mmcoa__S[c] + 2.0 nadph[c] + tmhexc[c] --> co2[c] + coa[c] + h2o[c] + 2.0 nadp[c] + tamocta[c],Rv2940c
619,FASm2801,FASm2801,Membrane Metabolism,3.0 h[c] + hmocta[c] + mmcoa__S[c] + 2.0 nadph[c] --> co2[c] + coa[c] + h2o[c] + hpmtria[c] + 2.0 nadp[c],Rv2940c
620,FASm2802,FASm2802,Membrane Metabolism,3.0 h[c] + mmcoa__S[c] + 2.0 nadph[c] + tamhexc[c] --> co2[c] + coa[c] + h2o[c] + 2.0 nadp[c] + pmocta[c],Rv2940c
621,FASm300,FASm300,Membrane Metabolism,3.0 h[c] + mmcoa__S[c] + 2.0 nadph[c] + pmocta[c] --> co2[c] + coa[c] + h2o[c] + hmtria[c] + 2.0 nadp[c],Rv2940c
622,FASm3001,FASm3001,Membrane Metabolism,3.0 h[c] + hpmtria[c] + mmcoa__S[c] + 2.0 nadph[c] --> co2[c] + coa[c] + h2o[c] + 2.0 nadp[c] + omdtria[c],Rv2940c
623,FASm320,FASm320,Membrane Metabolism,3.0 h[c] + hmtria[c] + mmcoa__S[c] + 2.0 nadph[c] --> co2[c] + coa[c] + h2o[c] + hpmdtria[c] + 2.0 nadp[c],Rv2940c
624,FASm340,FASm340,Membrane Metabolism,3.0 h[c] + hpmdtria[c] + mmcoa__S[c] + 2.0 nadph[c] --> co2[c] + coa[c] + h2o[c] + 2.0 nadp[c] + omtta[c],Rv2940c
625,GGLUCT2,GGLUCT2,Membrane Metabolism,gluala[c] --> 5oxpro[c] + ala__L[c],
626,GMT1,GMT1,Membrane Metabolism,decd_tb[c] + gdpmann[c] --> decdman1p_tb[c] + gdp[c],Rv2051c
627,MCBTS_1,MCBTS,Membrane Metabolism,atp[c] + bhb[c] + 2.0 h[c] + 2.0 lys__L[c] + 2.0 o2[c] + odecoa[c] + salc[c] + thr__L[c] --> adp[c] + co2[c] + coa[c] + 6.0 h2o[c] + mcbts[c] + pi[c],Rv2383c and Rv2381c and Rv2379c and Rv2378c and Rv2380c and Rv2382c and Rv2384
628,MCBTS2_1,MCBTS2,Membrane Metabolism,atp[c] + bhb[c] + 2.0 h[c] + 2.0 lys__L[c] + 2.0 o2[c] + odecoa[c] + salc[c] + ser__L[c] --> adp[c] + co2[c] + coa[c] + 6.0 h2o[c] + mcbtt[c] + pi[c],Rv2383c and Rv2381c and Rv2379c and Rv2378c and Rv2380c and Rv2382c and Rv2384
629,MCBTS3,MCBTS3,Membrane Metabolism,atp[c] + bhb[c] + 2.0 lys__L[c] + 2.0 nadp[c] + 3.5 o2[c] + occoa[c] + salc[c] + ser__L[c] --> adp[c] + cmcbtt[c] + co2[c] + coa[c] + 5.0 h2o[c] + 2.0 h[c] + 2.0 nadph[c] + pi[c],Rv2378c and Rv2379c and Rv2380c and Rv2381c and Rv2382c and Rv2383c and Rv2384
630,PDIMAS,PDIMAS,Membrane Metabolism,2.0 h[c] + phthiocerol[c] + 2.0 tamocta[c] --> 2.0 h2o[c] + pdima[c],Rv2941 and Rv2939
631,PGLS,PGLS,Membrane Metabolism,4.0 amet[c] + frrppdima[c] --> 4.0 ahcys[c] + 4.0 h[c] + mfrrppdima[c],
632,PGPP160,Phosphatidylglycerol phosphate phosphatase (n-C16:0),Membrane Metabolism,h2o[c] + pgp160[c] --> pg160[c] + pi[c],
633,PGPP160190,"Phosphatidylglycerol phosphate phosphatase (C16:0, C19:0)",Membrane Metabolism,h2o[c] + pgp160190[c] --> pg160190[c] + pi[c],
634,PGPP190,PGPP190,Membrane Metabolism,h2o[c] + pgp190[c] --> pg190[c] + pi[c],
635,PHTHDLS,PHTHDLS,Membrane Metabolism,h[c] + prephth[c] --> co2[c] + phthdl[c],
636,PHTHDLS2,PHTHDLS2,Membrane Metabolism,h[c] + prepphth[c] --> co2[c] + pphthdl[c],
637,PHTHS,PHTHS,Membrane Metabolism,amet[c] + nadph[c] + phthdl[c] --> ahcys[c] + nadp[c] + phthiocerol[c],Rv2951c and Rv2952
638,PHTHS2,PHTHS2,Membrane Metabolism,amet[c] + nadph[c] + pphthdl[c] --> ahcys[c] + nadp[c] + pphthiocerol[c],Rv2951c and Rv2952
639,PPDIMAS,PPDIMAS,Membrane Metabolism,2.0 h[c] + pphthiocerol[c] + 2.0 tamocta[c] --> 2.0 h2o[c] + ppdima[c],Rv2941 and Rv2939
640,PREPHACPH,PREPHACPH,Membrane Metabolism,h2o[c] + prephthACP[c] --> ACP[c] + h[c] + prephth[c],Rv2928
641,PREPPACPH,PREPPACPH,Membrane Metabolism,h2o[c] + prepphthACP[c] --> ACP[c] + h[c] + prepphth[c],Rv2928
642,PREPTHS,PREPTHS,Membrane Metabolism,arachACP[c] + 14.0 h[c] + 2.0 malcoa[c] + 2.0 mmcoa__S[c] + 10.0 nadph[c] --> 2.0 co2[c] + 4.0 coa[c] + 5.0 h2o[c] + 10.0 nadp[c] + prephthACP[c],Rv2931 or Rv2932 or Rv2933 or Rv2934 or Rv2935
643,PREPTHS2,PREPTHS2,Membrane Metabolism,14.0 h[c] + 2.0 malcoa[c] + 2.0 mmcoa__S[c] + 10.0 nadph[c] + phdcaACP[c] --> 2.0 co2[c] + 4.0 coa[c] + 5.0 h2o[c] + 10.0 nadp[c] + prepphthACP[c],Rv2931 or Rv2932 or Rv2933 or Rv2934 or Rv2935
644,PREPTTA,PREPTTA,Membrane Metabolism,ACP[c] + prephthcoa[c] <=> coa[c] + prephthACP[c],
645,TATS,TATS,Membrane Metabolism,4.0 h[c] + hdca[c] + hpmtria[c] + 2.0 omtta[c] + tre[c] --> 4.0 h2o[c] + tat[c],
646,TRE6PP,Trehalose-phosphatase,Membrane Metabolism,h2o[c] + tre6p[c] --> pi[c] + tre[c],Rv2006 or Rv3372
647,TRE6PS,"Alpha,alpha-trehalose-phosphate synthase (UDP-forming)",Membrane Metabolism,g6p[c] + udpg[c] --> h[c] + tre6p[c] + udp[c],Rv3490
648,TRESULT,Trehalose sulfotransferase,Membrane Metabolism,paps[c] + tre[c] --> h[c] + pap[c] + tres[c],Rv1373 or Rv0295c or Rv3529c or Rv2267c
649,TRIATS,TRIATS,Membrane Metabolism,3.0 h[c] + 2.0 ocdca[c] + tmlgnc[c] + tre[c] --> 3.0 h2o[c] + triat[c],
650,UAMRH,UDP-MurNAc Hydroxylase,Membrane Metabolism,h[c] + nadph[c] + o2[c] + uamr[c] --> h2o[c] + nadp[c] + ugmr[c],Rv3818
651,S7PI,Sedoheptulose 7-phosphate isomerase,Membrane Metabolism,s7p[c] --> gmhep7p[c],Rv0113
652,GMHEPK,D-glycero-D-manno-heptose 7-phosphate kinase,Membrane Metabolism,atp[c] + gmhep7p[c] --> adp[c] + gmhep17bp[c] + h[c],Rv0115
653,CMLDC,4 carboxymuconolactone decarboxylase,Miscellaneous,4cml[c] --> 5odhf2a[c] + co2[c] + h[c],Rv0771 or Rv0464c
654,H2CO3D,Carboxylic acid dissociation,Miscellaneous,co2[c] + h2o[c] <=> h2co3[c],Rv3273 or Rv3588c or Rv1284
655,HCO3E,HCO3 equilibration reaction,Miscellaneous,co2[c] + h2o[c] <=> h[c] + hco3[c],Rv3588c or Rv1284 or Rv3273
656,NTP3,Nucleoside-triphosphatase (GTP),Miscellaneous,gtp[c] + h2o[c] --> gdp[c] + h[c] + pi[c],Rv0684
657,MBTK3,MBTK3,Mycobactin biosynthesis,h[c] + malACP[c] + n6hlys[c] --> ACP[c] + n6hlysmal[c],Rv1347c
658,MBTG,MNXR6565,Mycobactin biosynthesis,lys__L[c] + nadph[c] + o2[c] <=> h2o[c] + n6hlys[c] + nadp[c],Rv2378c
659,MBTA3,MBTA3,Mycobactin biosynthesis,acac[c] + 3.0 h[c] + n6hlys[c] + n6hlysmal[c] + nadh[c] + salc[c] + thr__L[c] --> 6.0 h2o[c] + mcbtm[c] + nad[c],Rv2384 and Rv2383c and Rv2382c and Rv2381c and Rv2380c and Rv2379c and Rv2377c
660,MBTA1,MBTA1,Mycobactin biosynthesis,acac[c] + h[c] + n6hlys[c] + n6hlysmal[c] + nadh[c] + salc[c] + thr__L[c] --> 6.0 h2o[c] + mcbtt[c] + nad[c],Rv2384 and Rv2383c and Rv2382c and Rv2381c and Rv2380c and Rv2379c and Rv2377c
661,SALSYN,Salicylate synthase,Mycobactin biosynthesis,ichor[c] --> pyr[c] + salc[c],Rv2386c
662,FAMPL1,Fatty Acid Ligase AMP (mycolic acid),Mycolic Acid Biosynthesis,amp[c] + h[c] + meroacidcyc2ACP[c] --> ACP[c] + meroacidcyc2AMP[c],Rv3801c
663,FAMPL2,FAMPL2,Mycolic Acid Biosynthesis,amp[c] + h[c] + mmeroacidcyc2ACP[c] --> ACP[c] + mmeroacidcyc2AMP[c],Rv3801c
664,FAMPL3,FAMPL3,Mycolic Acid Biosynthesis,amp[c] + h[c] + kmeroacidcyc2ACP[c] --> ACP[c] + kmeroacidcyc2AMP[c],Rv3801c
665,FAMPL4,FAMPL4,Mycolic Acid Biosynthesis,amp[c] + h[c] + mmmeroacidcyc1ACP[c] --> ACP[c] + mmmeroacidcyc1AMP[c],Rv3801c
666,FAMPL5,Fatty Acid Ligase AMP (mycolic acid),Mycolic Acid Biosynthesis,amp[c] + h[c] + mkmeroacidcyc1ACP[c] --> ACP[c] + mkmeroacidcyc1AMP[c],Rv3801c
667,MYC1CYC1,MYC1CYC1,Mycolic Acid Biosynthesis,amet[c] + meroacidACP[c] --> ahcys[c] + h[c] + meroacidcyc1ACP[c],Rv0470c
668,MYC1CYC2,MYC1CYC2,Mycolic Acid Biosynthesis,amet[c] + mmeroacidACP[c] --> ahcys[c] + h[c] + mmeroacidcyc1ACP[c],Rv0470c
669,MYC1CYC3,MYC1CYC3,Mycolic Acid Biosynthesis,amet[c] + kmeroacidACP[c] --> ahcys[c] + h[c] + kmeroacidcyc1ACP[c],Rv0470c
670,MYC1CYC4,MYC1CYC4,Mycolic Acid Biosynthesis,amet[c] + mmmeroacidACP[c] --> ahcys[c] + h[c] + mmmeroacidcyc1ACP[c],Rv0503c or Rv0644c
671,MYC1CYC5,Mycolic Acid Cyclopropanation,Mycolic Acid Biosynthesis,amet[c] + mkmeroacidACP[c] --> ahcys[c] + h[c] + mkmeroacidcyc1ACP[c],Rv0644c
672,MYC1M1,MYC1M1,Mycolic Acid Biosynthesis,amet[c] + h2o[c] + mmeroacidACP[c] --> ahcys[c] + h[c] + mmmeroacidACP[c],Rv0644c or Rv0642c or Rv0645c or Rv0503c
673,MYC1M2,MYC1M2,Mycolic Acid Biosynthesis,amet[c] + h2o[c] + kmeroacidACP[c] --> ahcys[c] + h[c] + mkmeroacidACP[c],Rv0644c or Rv0642c or Rv0503c or Rv0645c
674,MYC2CYC1,MYC2CYC1,Mycolic Acid Biosynthesis,amet[c] + meroacidcyc1ACP[c] --> ahcys[c] + h[c] + meroacidcyc2ACP[c],Rv0644c
675,MYC2CYC2,MYC2CYC2,Mycolic Acid Biosynthesis,amet[c] + mmeroacidcyc1ACP[c] --> ahcys[c] + h[c] + mmeroacidcyc2ACP[c],Rv0644c
676,MYC2CYC3,MYC2CYC3,Mycolic Acid Biosynthesis,amet[c] + kmeroacidcyc1ACP[c] --> ahcys[c] + h[c] + kmeroacidcyc2ACP[c],Rv0644c
677,MYCON1,Mycolic Acid Condensation,Mycolic Acid Biosynthesis,chexccoa[c] + 2.0 h2o[c] + meroacidcyc2AMP[c] --> amp[c] + co2[c] + coa[c] + 2.0 h[c] + mycolate[c],Rv3800c
678,MYCON2,MYCON2,Mycolic Acid Biosynthesis,chexccoa[c] + 2.0 h2o[c] + mmeroacidcyc2AMP[c] --> amp[c] + co2[c] + coa[c] + 2.0 h[c] + mmycolate[c],Rv3800c
679,MYCON3,MYCON3,Mycolic Acid Biosynthesis,chexccoa[c] + 2.0 h2o[c] + kmeroacidcyc2AMP[c] --> amp[c] + co2[c] + coa[c] + 2.0 h[c] + kmycolate[c],Rv3800c
680,MYCON4,MYCON4,Mycolic Acid Biosynthesis,chexccoa[c] + 2.0 h2o[c] + mmmeroacidcyc1AMP[c] --> amp[c] + co2[c] + coa[c] + 2.0 h[c] + mmmycolate[c],Rv3800c
681,MYCON5,Mycolic Acid Condensation,Mycolic Acid Biosynthesis,chexccoa[c] + 2.0 h2o[c] + mkmeroacidcyc1AMP[c] --> amp[c] + co2[c] + coa[c] + 2.0 h[c] + mkmycolate[c],Rv3800c
682,MYCSacp50,MYCSacp50,Mycolic Acid Biosynthesis,33.0 h[c] + hexc[c] + 12.0 malACP[c] + 24.0 nadph[c] --> 11.0 ACP[c] + 12.0 co2[c] + 13.0 h2o[c] + meroacidACP[c] + 24.0 nadp[c],(Rv1483 and Rv2245 and Rv2246) or (Rv0098 and Rv2245 and Rv2246)
683,MYCSacp56,MYCSacp56,Mycolic Acid Biosynthesis,42.0 h[c] + hexc[c] + 15.0 malACP[c] + 30.0 nadph[c] --> 14.0 ACP[c] + 15.0 co2[c] + 16.0 h2o[c] + mmeroacidACP[c] + 30.0 nadp[c],(Rv1483 and Rv2245 and Rv2246) or (Rv0098 and Rv2245 and Rv2246)
684,MYCSacp58,MYCSacp58,Mycolic Acid Biosynthesis,47.0 h[c] + hexc[c] + 16.0 malACP[c] + 30.0 nadph[c] --> 15.0 ACP[c] + 16.0 co2[c] + 17.0 h2o[c] + kmeroacidACP[c] + 30.0 nadp[c],(Rv1483 and Rv2245 and Rv2246) or (Rv0098 and Rv2245 and Rv2246)
685,OTSB1,MNXR90564,Mycolic acid pathway,h2o[c] + tre6mmp[c] --> h[c] + pi[c] + tre6mm[c],Rv3400 or Rv2006
686,MYCOPP,MNXR90581,Mycolic acid pathway,c78mycolateACP[c] + ppm[c] --> ACP[c] + c78mycolatepp[c],Rv3802c
687,TMMYCO,TMMYCO,Mycolic acid pathway,c78mycolatepp[c] + tre6p[c] --> ppm[c] + tre6mmp[c],Rv1288 or Rv0519c or Rv0774c
688,MYCOE,MYCOE,Mycolic acid pathway,ACP[c] + 1.75 h2o[c] + 0.25 kmycolate[c] + 0.25 mkmycolate[c] + 0.25 mmycolate[c] + 0.25 mycolate[c] --> c78mycolateACP[c] + 1.5 co2[c] + 6.0 h[c],
689,PPM1,MNXR76028,Mycolic acid pathway,gdpmann[c] + udcpp[c] --> gdp[c] + ppm[c],Rv2051c
690,FBPA,MNXR90624,Mycolic acid pathway,h2o[c] + 2.0 tre6mm[c] --> 2.0 h[c] + tdm3[c] + tre[c],Rv3804c and Rv1886c and Rv0129c and Rv3803c
691,BIRA,BIRA,Mycolic acid pathway,accb[c] + atp[c] + h2o[c] --> amp[c] + bccp[c] + h[c] + ppi[c],Rv3279c
692,ACCD3,ACCD3,Mycolic acid pathway,accoa[c] + bccpco2[c] --> accb[c] + h[c] + malcoa[c],Rv0904c
693,ACCA3,ACCA3,Mycolic acid pathway,atp[c] + bccp[c] + hco3[c] --> adp[c] + bccpco2[c] + pi[c],Rv3285
694,NADDP_1,NAD diphosphatase,Nicotinate and nicotinamide metabolism,h2o[c] + nad[c] --> amp[c] + h[c] + nmn[c],Rv3199c
695,NMNAT_1,Nicotinamide-nucleotide adenylyltransferase,Nicotinate and nicotinamide metabolism,atp[c] + nmn[c] --> nad[c] + ppi[c],Rv2421c
696,ADNK1,Adenosine kinase,Nucleotide Salvage Pathway,adn[c] + atp[c] --> adp[c] + amp[c] + h[c],Rv2202c
697,ADNK3,Adenosine kinase,Nucleotide Salvage Pathway,adn[c] + gtp[c] --> amp[c] + gdp[c] + h[c],Rv2202c
698,ADNK4,Adenosine kinase,Nucleotide Salvage Pathway,adn[c] + dgtp[c] --> amp[c] + dgdp[c] + h[c],Rv2202c
699,CYTDK2,Cytidine kinase (GTP),Nucleotide Salvage Pathway,cytd[c] + gtp[c] --> cmp[c] + gdp[c] + h[c],
700,DADA,Deoxyadenosine deaminase,Nucleotide Salvage Pathway,dad_2[c] + h2o[c] + h[c] --> din[c] + nh4[c],
701,DADK,Deoxyadenylate kinase,Nucleotide Salvage Pathway,atp[c] + damp[c] <=> adp[c] + dadp[c],
702,GALT,Galactose 1 phosphate uridylyltransferase,Nucleotide Salvage Pathway,gal1p[c] + h[c] + utp[c] <=> ppi[c] + udpgal[c],Rv0619 or Rv0618
703,GSNK,Guanosine kinase,Nucleotide Salvage Pathway,atp[c] + gsn[c] --> adp[c] + gmp[c] + h[c],
704,GUAD,Guanine deaminase,Nucleotide Salvage Pathway,gua[c] + h2o[c] + h[c] --> nh4[c] + xan[c],
705,GUAPRT,Guanine phosphoribosyltransferase,Nucleotide Salvage Pathway,gua[c] + prpp[c] --> gmp[c] + ppi[c],Rv3624c
706,INSK,Insosine kinase,Nucleotide Salvage Pathway,atp[c] + ins[c] --> adp[c] + h[c] + imp[c],
707,NTD10,5'-nucleotidase (XMP),Nucleotide Salvage Pathway,h2o[c] + xmp[c] --> pi[c] + xtsn[c],
708,NTD11,5'-nucleotidase (IMP),Nucleotide Salvage Pathway,h2o[c] + imp[c] --> ins[c] + pi[c],
709,NTD3,5'-nucleotidase (dCMP),Nucleotide Salvage Pathway,dcmp[c] + h2o[c] --> dcyt[c] + pi[c],
710,NTD5,5'-nucleotidase (dTMP),Nucleotide Salvage Pathway,dtmp[c] + h2o[c] --> pi[c] + thymd[c],
711,NTD6,5'-nucleotidase (dAMP),Nucleotide Salvage Pathway,damp[c] + h2o[c] --> dad_2[c] + pi[c],
712,NTD7,5'-nucleotidase (AMP),Nucleotide Salvage Pathway,amp[c] + h2o[c] --> adn[c] + pi[c],
